"id","question_es","question_ru_OLD","question_ru_NEW","explanation_ru_OLD","explanation_ru_NEW","whyCorrect_ru_OLD","whyCorrect_ru_NEW","commonMistake_ru_OLD","commonMistake_ru_NEW","keyRule_ru_OLD","keyRule_ru_NEW","memoryHint_ru_OLD","memoryHint_ru_NEW"
"category-b-0001","Según la Organización Mundial de la Salud, la siguiente problemática es categorizada como 'pandemia' ya que constituye la décima causa de muerte en todo el mundo.","По данным Всемирной организации здравоохранения, следующая проблема классифицируется как «пандемия», поскольку она является десятой причиной смертности во всем мире.","","Правильный ответ — Verdadero, потому что в учебных материалах проблема дорожной аварийности рассматривается как масштабная общественная проблема, связанная с большим количеством смертей и травм.","На фото последствия тяжёлого ДТП: мотоцикл лежит на проезжей части, рядом повреждённый автомобиль. Поэтому утверждение о дорожной аварийности как о масштабной проблеме общественного здоровья верно.","Правильный ответ — Verdadero: в вопросе прямо указана позиция ВОЗ о масштабе проблемы, а изображение визуально подкрепляет тему тяжелых последствий на дорогах. Фото иллюстрирует не абстрактный риск, а реальную травматичность таких событий. Поэтому утверждение о высокой общественной значимости и смертности логично принимается как верное.","Вариант A верен: ВОЗ рассматривает дорожные происшествия как серьёзную причину смертности и травматизма, а фото показывает именно реальную цену ошибки на дороге.","Новички читают вопрос как «просто статистику» и игнорируют смысл про масштаб последствий.","Частая ошибка — воспринимать вопрос как абстрактную статистику и не связывать её с реальными травмами и смертностью.","Дорожная аварийность рассматривается как крупная общественная проблема, а не случайность.","ДТП — не случайная мелочь, а крупная проблема общественной безопасности.","Мотоцикл на асфальте: цена ошибки на дороге максимальна.","Мотоцикл на асфальте: одна ошибка может стоить жизни."
"category-b-0002","Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., ¿cuál es el rango etario con mayor número de víctimas lesionadas y fatales en siniestros viales?","Согласно последним статистическим данным Дорожной обсерватории города Буэнос-Айреса, в каком возрасте наблюдается наибольшее количество раненых и смертельных жертв в дорожно-транспортных происшествиях?","","Правильный ответ — Jóvenes y adultos de 15 a 34 años., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Молодёжь и взрослые от 15 до 34 лет. Это статистический факт из материалов Observatorio Vial, поэтому здесь важно запомнить точную группу/показатель, а не отвечать по ощущению риска.","Верный вариант определяется официальной статистикой Observatorio Vial по возрастной группе с наибольшим числом пострадавших и погибших. Здесь важно выбрать точный диапазон из данных, а не интуитивно «самых молодых» или «самых старших». Логика экзамена — проверка внимательного чтения статистического факта.","Вариант B верен, потому что вопрос просит воспроизвести официальные данные, а не оценить ситуацию на дороге по личному опыту.","Часто отвечают по личному опыту, а не по формулировке из статистики.","Частая ошибка — выбирать группу, которая кажется более уязвимой, вместо указанной в статистике.","В статистических вопросах приоритет у точных данных источника.","В статистических вопросах учи точную формулировку ответа: Молодёжь и взрослые от 15 до 34 лет.","Статвопрос: выбирай по данным, не по ощущениям.","Статистика: не угадывай, вспоминай цифру или группу."
"category-b-0003","Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., la tasa más alta de víctimas fatales como consecuencia de incidentes de tránsito (luego de los peatones) son los usuarios de:","Согласно последним статистическим данным Дорожной обсерватории города Буэнос-Айреса, самый высокий уровень смертности в результате дорожно-транспортных происшествий (после пешеходов) приходится на пользователей:","","Правильный ответ — Opción B., потому что он соответствует правилу по теме «category-b».","На картинке варианты: A — автомобиль, B — мотоцикл/мотороллер, C — велосипедист. По статистике после пешеходов больше всего смертельных жертв среди пользователей мототранспорта, поэтому правильный вариант — B.","Правильный ответ выбирается по статистике о том, какие пользователи чаще становятся жертвами после пешеходов. Фото задает контекст категорий, но решающим остается формулировка с данными Observatorio Vial. Нужно опираться на статистический факт, а не на субъективную оценку риска.","Вариант B верен, потому что мотоциклисты уязвимее водителей автомобиля: у них нет кузова, ремней и зоны деформации, а скорость может быть высокой.","Новички путают личное ощущение опасности с фактическим распределением жертв.","Частая ошибка — выбирать велосипедиста как самого уязвимого визуально, но вопрос спрашивает именно статистику смертельных жертв после пешеходов.","Статистика жертв ДТП читается по группам участников, а не по интуиции.","После пешеходов в статистике смертельных жертв особенно выделяются пользователи мототранспорта.","После пешеходов смотри статистику по самым уязвимым.","Две колёсные скорости без кузова — высокий риск."
"category-b-0004","La Organización Mundial de la Salud manifiesta que el riesgo en la vía pública surge como resultado de diversos factores, ¿cuáles son?","Всемирная организация здравоохранения утверждает, что риск на дорогах общего пользования возникает в результате различных факторов. Каковы они?","","Правильный ответ — Humano, Vehicular y Ambiental., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Человек, транспорт и окружающая среда. Вопрос проверяет базовую логику безопасности: риск на дороге возникает не случайно, а из факторов, которыми можно управлять.","Верный ответ включает полный набор факторов, которые совместно формируют риск на дороге: человеческий, транспортный и средовой. Выбор только одного или двух факторов неполный. Экзамен проверяет системный взгляд, а не поиск единственного виновника.","Вариант C верен, потому что он совпадает с официальной концепцией дорожной безопасности и не сводит проблему к одному удобному объяснению.","Часто винят только водителя и забывают про состояние ТС и среды.","Ошибка — искать одного виновника и забывать, что аварии обычно возникают из сочетания поведения, условий и техники.","Дорожный риск возникает из комбинации нескольких факторов.","Дорожный риск складывается из человека, транспорта и среды.","Риск всегда составной: человек, техника, среда.","Три фактора: человек, машина, среда."
"category-b-0005","¿A qué factor se deben la mayoría de los siniestros viales?","По какому фактору происходит большинство дорожно-транспортных происшествий?","","Правильный ответ — Al humano., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Для человека. Вопрос проверяет базовую логику безопасности: риск на дороге возникает не случайно, а из факторов, которыми можно управлять.","Правильный вариант указывает на человеческий фактор как главный источник большинства аварийных ситуаций. Техника и среда важны, но чаще именно поведение, внимание и решения человека запускают критическую цепочку. Логика вопроса — отделить доминирующую причину от сопутствующих.","Вариант A верен, потому что он совпадает с официальной концепцией дорожной безопасности и не сводит проблему к одному удобному объяснению.","Новички переоценивают «плохую погоду» и недооценивают собственные решения.","Ошибка — искать одного виновника и забывать, что аварии обычно возникают из сочетания поведения, условий и техники.","Человеческий фактор чаще всего определяет исход дорожной ситуации.","Большинство ДТП связано прежде всего с человеческим фактором.","Главный риск — ошибки человека за рулем.","Главный риск часто сидит за рулём."
"category-b-0006","A fin de aumentar la propia seguridad y la de los demás, ¿a qué se debería poner atención durante la circulación?","На что следует обратить внимание во время вождения, чтобы повысить свою безопасность и безопасность окружающих?","","Правильный ответ — A las condiciones en que se encuentran: el automóvil, la infraestructura vial, las condiciones climáticas y el conductor., потому что он соответствует правилу по теме «category-b».","Правильный ответ — К условиям, в которых они находятся: автомобиль, дорожная инфраструктура, погодные условия и водитель. Вопрос проверяет конкретную норму, поэтому нужно выделить ключевое условие и не отвечать по привычке.","Верный ответ связан с непрерывным контролем дорожной обстановки: впереди, по сторонам, по зеркалам и по потенциальным конфликтным зонам. Без этого даже формально правильный маневр становится опасным. Экзамен проверяет привычку проактивного наблюдения, а не реакцию в последний момент.","Вариант B верен, потому что он прямо соответствует формулировке правила и исключает более рискованные или неполные варианты.","Часто концентрируются только на машине впереди и теряют боковые угрозы.","Частая ошибка — выбирать по интуиции, не дочитав ограничение в вопросе.","Безопасность начинается с постоянного кругового наблюдения за обстановкой.","Сначала выдели условие вопроса, затем применяй правило.","Смотри дальше капота и заранее читай риски.","Ответ спрятан в точном условии."
"category-b-0007","El factor ambiental es el principal factor de riesgo ya que las colisiones, en su mayoría, se deben a las condiciones meteorológicas o del camino","Фактор окружающей среды является основным фактором риска, поскольку столкновения, по большей части, происходят из-за погодных или дорожных условий.","","Правильный ответ — Falso., потому что он соответствует правилу по теме «category-b».","Правильный ответ — утверждение неверно. Вопрос проверяет базовую логику безопасности: риск на дороге возникает не случайно, а из факторов, которыми можно управлять.","Правильный ответ — Falso: погодные и дорожные условия влияют на риск, но не являются главным фактором в большинстве столкновений. Ключевая доля происшествий связана с действиями участников. Вопрос проверяет, понимаете ли вы разницу между «влияет» и «основная причина».","Вариант B верен, потому что он совпадает с официальной концепцией дорожной безопасности и не сводит проблему к одному удобному объяснению.","Новички выбирают «истина», потому что дождь и скользко кажутся главной причиной.","Ошибка — искать одного виновника и забывать, что аварии обычно возникают из сочетания поведения, условий и техники.","Фактор среды важен, но обычно не доминирует над человеческим.","Дорожная безопасность рассматривает причины системно, а не как случайность.","Погода влияет, но чаще решает поведение людей.","Vision Cero: смерть на дороге не норма."
"category-b-0008","Por lo general, las fallas mecánicas se deben a conductas negligentes por parte de los propietarios de los vehículos, que no se ocupan de la verificación del estado de su automóvil","Механические неисправности, как правило, возникают из-за халатного поведения владельцев транспортных средств, которые не заботятся о проверке состояния своего автомобиля.","","Правильный ответ — Verdadero., потому что он соответствует правилу по теме «category-b».","Правильный ответ — утверждение верно. Техническое состояние и действия при неисправности напрямую влияют на контроль автомобиля и риск вторичных аварий.","Верный ответ — Verdadero: многие механические отказы связаны с отсутствием регулярного контроля и обслуживания автомобиля. Это не случайность, а управляемый риск. Экзамен подчеркивает, что профилактика состояния ТС — часть личной дорожной ответственности.","Вариант A верен, потому что он уменьшает механический риск: сохраняет сцепление, видимость, управляемость или предупреждает других.","Часто считают поломку «невезением», а не результатом пропущенного ухода.","Частая ошибка — считать техническую проверку формальностью, пока поломка не произошла.","Техническая исправность транспорта — обязанность владельца и водителя.","Исправность автомобиля — часть обязанности водителя.","Не обслуживаешь авто — сам создаешь аварийный риск.","Проверка заранее дешевле аварии."
"category-b-0009","¿A qué se denomina incidente de tránsito o incidente vial?","Что называется дорожно-транспортным происшествием или дорожным происшествием?","","Правильный ответ — Hecho que puede ser evitado, en el cual se produce daño a persona o cosa, en ocasión de circulación en la vía pública., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Факт, которого можно избежать, при котором причиняется вред человеку или вещи при движении по дорогам общего пользования. После ДТП важны порядок действий, помощь пострадавшим, сохранение места и юридические обязанности.","Правильный вариант описывает incidente de tránsito как событие, возникшее в процессе движения и связанное с риском или вредом участникам и имуществу. Важно не путать его только с «крупной аварией». Экзамен проверяет корректное понимание базовой терминологии.","Вариант A верен, потому что он снижает вторичный риск и соответствует обязанности участника происшествия.","Новички считают инцидентом только случаи с тяжелыми травмами.","Ошибка — уехать, спорить или начинать помогать хаотично, не защитив место и не вызвав помощь.","Термин incidente vial шире, чем только тяжелое ДТП.","При ДТП водитель обязан остановиться, обозначить риск и выполнить правовые обязанности.","Инцидент — любое дорожное событие с риском или вредом.","ДТП: остановись и действуй по порядку."
"category-b-0010","¿De qué se trata el “Programa Visión Cero” creado en 1997 en Suecia?","Что представляет собой программа Vision Zero, созданная в 1997 году в Швеции?","","Правильный ответ — Principio ético que establece que nadie debería morir ni sufrir lesiones permanentes en siniestros de tránsito., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Этический принцип, устанавливающий, что никто не должен погибать или получать необратимые травмы в результате дорожно-транспортных происшествий. Вопрос проверяет базовую логику безопасности: риск на дороге возникает не случайно, а из факторов, которыми можно управлять.","Верный ответ отражает идею, что смертность и тяжелые травмы на дорогах не должны считаться приемлемой ценой мобильности. Программа ставит цель системно снижать их до нуля через политику, инфраструктуру и поведение участников. Экзамен проверяет понимание философии «предотвратимости» дорожного вреда.","Вариант B верен, потому что он совпадает с официальной концепцией дорожной безопасности и не сводит проблему к одному удобному объяснению.","Иногда сводят программу только к штрафам, теряя системный подход.","Ошибка — искать одного виновника и забывать, что аварии обычно возникают из сочетания поведения, условий и техники.","Смерти и тяжелые травмы в трафике должны предотвращаться системой.","Дорожная безопасность рассматривает причины системно, а не как случайность.","Visión Cero: ни одной «нормальной» смерти на дороге.","Vision Cero: смерть на дороге не норма."
"category-b-0011","“Cada usuario de la vía pública es responsable de una parte del tránsito.” ¿Es correcta ésta premisa?","«Каждый участник дорожного движения несет ответственность за часть трафика». Верна ли эта предпосылка?","","Правильный ответ — Sí, porque se está obligado a no causar peligro ni entorpecer la circulación., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Да, потому что вы обязаны не создавать опасности и не препятствовать движению транспорта. Это вопрос на формальное требование: кто отвечает, какой документ нужен, какой срок действует или какое действие разрешено законом.","Верный вариант C, потому что обязанность не создавать опасность и не мешать движению относится ко всем участникам дорожного движения, а не только к водителям с лицензией. Формулировка про ответственность каждого пользователя дороги прямо это подтверждает. Это базовый принцип безопасного и предсказуемого трафика.","Вариант C верен, потому что соответствует конкретной норме, а не привычке «как обычно делают».","Новички думают, что правила в основном для водителей авто, и забывают про ответственность пешеходов и велосипедистов.","Частая ошибка — отвечать по бытовой логике и пропускать точный срок, орган или условие в формулировке.","Каждый участник движения обязан не создавать опасность и помехи.","Документы и обязательные элементы проверяются по точной норме, без бытовых исключений.","Дорога общая: не мешай и не создавай риск.","Юридический вопрос — ищи точное условие."
