"id","question_es","question_ru_OLD","question_ru_NEW","explanation_ru_OLD","explanation_ru_NEW","whyCorrect_ru_OLD","whyCorrect_ru_NEW","commonMistake_ru_OLD","commonMistake_ru_NEW","keyRule_ru_OLD","keyRule_ru_NEW","memoryHint_ru_OLD","memoryHint_ru_NEW"
"category-b-0001","Según la Organización Mundial de la Salud, la siguiente problemática es categorizada como 'pandemia' ya que constituye la décima causa de muerte en todo el mundo.","По данным Всемирной организации здравоохранения, следующая проблема классифицируется как «пандемия», поскольку она является десятой причиной смертности во всем мире.","","Правильный ответ — Verdadero, потому что в учебных материалах проблема дорожной аварийности рассматривается как масштабная общественная проблема, связанная с большим количеством смертей и травм.","Правильный ответ — Verdadero, потому что в учебных материалах проблема дорожной аварийности рассматривается как масштабная общественная проблема, связанная с большим количеством смертей и травм.","Правильный ответ — Verdadero: в вопросе прямо указана позиция ВОЗ о масштабе проблемы, а изображение визуально подкрепляет тему тяжелых последствий на дорогах. Фото иллюстрирует не абстрактный риск, а реальную травматичность таких событий. Поэтому утверждение о высокой общественной значимости и смертности логично принимается как верное.","Правильный ответ — Verdadero: в вопросе прямо указана позиция ВОЗ о масштабе проблемы, а изображение визуально подкрепляет тему тяжелых последствий на дорогах. Фото иллюстрирует не абстрактный риск, а реальную травматичность таких событий. Поэтому утверждение о высокой общественной значимости и смертности логично принимается как верное.","Новички читают вопрос как «просто статистику» и игнорируют смысл про масштаб последствий.","Новички читают вопрос как «просто статистику» и игнорируют смысл про масштаб последствий.","Дорожная аварийность рассматривается как крупная общественная проблема, а не случайность.","Дорожная аварийность рассматривается как крупная общественная проблема, а не случайность.","Мотоцикл на асфальте: цена ошибки на дороге максимальна.","Мотоцикл на асфальте: цена ошибки на дороге максимальна."
"category-b-0002","Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., ¿cuál es el rango etario con mayor número de víctimas lesionadas y fatales en siniestros viales?","Согласно последним статистическим данным Дорожной обсерватории города Буэнос-Айреса, в каком возрасте наблюдается наибольшее количество раненых и смертельных жертв в дорожно-транспортных происшествиях?","","Правильный ответ — Jóvenes y adultos de 15 a 34 años., потому что он соответствует правилу по теме «category-b».","Верный вариант определяется официальной статистикой Observatorio Vial по возрастной группе с наибольшим числом пострадавших и погибших. Здесь важно выбрать точный диапазон из данных, а не интуитивно «самых молодых» или «самых старших».","Верный вариант определяется официальной статистикой Observatorio Vial по возрастной группе с наибольшим числом пострадавших и погибших. Здесь важно выбрать точный диапазон из данных, а не интуитивно «самых молодых» или «самых старших». Логика экзамена — проверка внимательного чтения статистического факта.","Верный вариант определяется официальной статистикой Observatorio Vial по возрастной группе с наибольшим числом пострадавших и погибших. Здесь важно выбрать точный диапазон из данных, а не интуитивно «самых молодых» или «самых старших». Логика экзамена — проверка внимательного чтения статистического факта.","Часто отвечают по личному опыту, а не по формулировке из статистики.","Часто отвечают по личному опыту, а не по формулировке из статистики.","В статистических вопросах приоритет у точных данных источника.","В статистических вопросах приоритет у точных данных источника.","Статвопрос: выбирай по данным, не по ощущениям.","Статвопрос: выбирай по данным, не по ощущениям."
"category-b-0003","Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., la tasa más alta de víctimas fatales como consecuencia de incidentes de tránsito (luego de los peatones) son los usuarios de:","Согласно последним статистическим данным Дорожной обсерватории города Буэнос-Айреса, самый высокий уровень смертности в результате дорожно-транспортных происшествий (после пешеходов) приходится на пользователей:","","Правильный ответ — Opción B., потому что он соответствует правилу по теме «category-b».","Правильный ответ выбирается по статистике о том, какие пользователи чаще становятся жертвами после пешеходов. Фото задает контекст категорий, но решающим остается формулировка с данными Observatorio Vial. Нужно опираться на статистический факт, а не на субъективную оценку риска.","Правильный ответ выбирается по статистике о том, какие пользователи чаще становятся жертвами после пешеходов. Фото задает контекст категорий, но решающим остается формулировка с данными Observatorio Vial. Нужно опираться на статистический факт, а не на субъективную оценку риска.","Правильный ответ выбирается по статистике о том, какие пользователи чаще становятся жертвами после пешеходов. Фото задает контекст категорий, но решающим остается формулировка с данными Observatorio Vial. Нужно опираться на статистический факт, а не на субъективную оценку риска.","Новички путают личное ощущение опасности с фактическим распределением жертв.","Новички путают личное ощущение опасности с фактическим распределением жертв.","Статистика жертв ДТП читается по группам участников, а не по интуиции.","Статистика жертв ДТП читается по группам участников, а не по интуиции.","После пешеходов смотри статистику по самым уязвимым.","После пешеходов смотри статистику по самым уязвимым."
"category-b-0004","La Organización Mundial de la Salud manifiesta que el riesgo en la vía pública surge como resultado de diversos factores, ¿cuáles son?","Всемирная организация здравоохранения утверждает, что риск на дорогах общего пользования возникает в результате различных факторов. Каковы они?","","Правильный ответ — Humano, Vehicular y Ambiental., потому что он соответствует правилу по теме «category-b».","включает полный набор факторов, которые совместно формируют риск на дороге: человеческий, транспортный и средовой. Выбор только одного или двух факторов неполный. Экзамен проверяет системный взгляд, а не поиск единственного виновника.","Верный ответ включает полный набор факторов, которые совместно формируют риск на дороге: человеческий, транспортный и средовой. Выбор только одного или двух факторов неполный. Экзамен проверяет системный взгляд, а не поиск единственного виновника.","Верный ответ включает полный набор факторов, которые совместно формируют риск на дороге: человеческий, транспортный и средовой. Выбор только одного или двух факторов неполный. Экзамен проверяет системный взгляд, а не поиск единственного виновника.","Часто винят только водителя и забывают про состояние ТС и среды.","Часто винят только водителя и забывают про состояние ТС и среды.","Дорожный риск возникает из комбинации нескольких факторов.","Дорожный риск возникает из комбинации нескольких факторов.","Риск всегда составной: человек, техника, среда.","Риск всегда составной: человек, техника, среда."
"category-b-0005","¿A qué factor se deben la mayoría de los siniestros viales?","По какому фактору происходит большинство дорожно-транспортных происшествий?","","Правильный ответ — Al humano., потому что он соответствует правилу по теме «category-b».","указывает на человеческий фактор как главный источник большинства аварийных ситуаций. Техника и среда важны, но чаще именно поведение, внимание и решения человека запускают критическую цепочку. Логика вопроса — отделить доминирующую причину от сопутствующих.","Правильный вариант указывает на человеческий фактор как главный источник большинства аварийных ситуаций. Техника и среда важны, но чаще именно поведение, внимание и решения человека запускают критическую цепочку. Логика вопроса — отделить доминирующую причину от сопутствующих.","Правильный вариант указывает на человеческий фактор как главный источник большинства аварийных ситуаций. Техника и среда важны, но чаще именно поведение, внимание и решения человека запускают критическую цепочку. Логика вопроса — отделить доминирующую причину от сопутствующих.","Новички переоценивают «плохую погоду» и недооценивают собственные решения.","Новички переоценивают «плохую погоду» и недооценивают собственные решения.","Человеческий фактор чаще всего определяет исход дорожной ситуации.","Человеческий фактор чаще всего определяет исход дорожной ситуации.","Главный риск — ошибки человека за рулем.","Главный риск — ошибки человека за рулем."
"category-b-0006","A fin de aumentar la propia seguridad y la de los demás, ¿a qué se debería poner atención durante la circulación?","На что следует обратить внимание во время вождения, чтобы повысить свою безопасность и безопасность окружающих?","","Правильный ответ — A las condiciones en que se encuentran: el automóvil, la infraestructura vial, las condiciones climáticas y el conductor., потому что он соответствует правилу по теме «category-b».","связан с непрерывным контролем дорожной обстановки: впереди, по сторонам, по зеркалам и по потенциальным конфликтным зонам. Без этого даже формально правильный маневр становится опасным.","Верный ответ связан с непрерывным контролем дорожной обстановки: впереди, по сторонам, по зеркалам и по потенциальным конфликтным зонам. Без этого даже формально правильный маневр становится опасным. Экзамен проверяет привычку проактивного наблюдения, а не реакцию в последний момент.","Верный ответ связан с непрерывным контролем дорожной обстановки: впереди, по сторонам, по зеркалам и по потенциальным конфликтным зонам. Без этого даже формально правильный маневр становится опасным. Экзамен проверяет привычку проактивного наблюдения, а не реакцию в последний момент.","Часто концентрируются только на машине впереди и теряют боковые угрозы.","Часто концентрируются только на машине впереди и теряют боковые угрозы.","Безопасность начинается с постоянного кругового наблюдения за обстановкой.","Безопасность начинается с постоянного кругового наблюдения за обстановкой.","Смотри дальше капота и заранее читай риски.","Смотри дальше капота и заранее читай риски."
"category-b-0007","El factor ambiental es el principal factor de riesgo ya que las colisiones, en su mayoría, se deben a las condiciones meteorológicas o del camino","Фактор окружающей среды является основным фактором риска, поскольку столкновения, по большей части, происходят из-за погодных или дорожных условий.","","Правильный ответ — Falso., потому что он соответствует правилу по теме «category-b».","Правильный ответ — Falso: погодные и дорожные условия влияют на риск, но не являются главным фактором в большинстве столкновений. Ключевая доля происшествий связана с действиями участников.","Правильный ответ — Falso: погодные и дорожные условия влияют на риск, но не являются главным фактором в большинстве столкновений. Ключевая доля происшествий связана с действиями участников. Вопрос проверяет, понимаете ли вы разницу между «влияет» и «основная причина».","Правильный ответ — Falso: погодные и дорожные условия влияют на риск, но не являются главным фактором в большинстве столкновений. Ключевая доля происшествий связана с действиями участников. Вопрос проверяет, понимаете ли вы разницу между «влияет» и «основная причина».","Новички выбирают «истина», потому что дождь и скользко кажутся главной причиной.","Новички выбирают «истина», потому что дождь и скользко кажутся главной причиной.","Фактор среды важен, но обычно не доминирует над человеческим.","Фактор среды важен, но обычно не доминирует над человеческим.","Погода влияет, но чаще решает поведение людей.","Погода влияет, но чаще решает поведение людей."
"category-b-0008","Por lo general, las fallas mecánicas se deben a conductas negligentes por parte de los propietarios de los vehículos, que no se ocupan de la verificación del estado de su automóvil","Механические неисправности, как правило, возникают из-за халатного поведения владельцев транспортных средств, которые не заботятся о проверке состояния своего автомобиля.","","Правильный ответ — Verdadero., потому что он соответствует правилу по теме «category-b».","— Verdadero: многие механические отказы связаны с отсутствием регулярного контроля и обслуживания автомобиля. Это не случайность, а управляемый риск. Экзамен подчеркивает, что профилактика состояния ТС — часть личной дорожной ответственности.","Верный ответ — Verdadero: многие механические отказы связаны с отсутствием регулярного контроля и обслуживания автомобиля. Это не случайность, а управляемый риск. Экзамен подчеркивает, что профилактика состояния ТС — часть личной дорожной ответственности.","Верный ответ — Verdadero: многие механические отказы связаны с отсутствием регулярного контроля и обслуживания автомобиля. Это не случайность, а управляемый риск. Экзамен подчеркивает, что профилактика состояния ТС — часть личной дорожной ответственности.","Часто считают поломку «невезением», а не результатом пропущенного ухода.","Часто считают поломку «невезением», а не результатом пропущенного ухода.","Техническая исправность транспорта — обязанность владельца и водителя.","Техническая исправность транспорта — обязанность владельца и водителя.","Не обслуживаешь авто — сам создаешь аварийный риск.","Не обслуживаешь авто — сам создаешь аварийный риск."
"category-b-0009","¿A qué se denomina incidente de tránsito o incidente vial?","Что называется дорожно-транспортным происшествием или дорожным происшествием?","","Правильный ответ — Hecho que puede ser evitado, en el cual se produce daño a persona o cosa, en ocasión de circulación en la vía pública., потому что он соответствует правилу по теме «category-b».","описывает incidente de tránsito как событие, возникшее в процессе движения и связанное с риском или вредом участникам и имуществу. Важно не путать его только с «крупной аварией». Экзамен проверяет корректное понимание базовой терминологии.","Правильный вариант описывает incidente de tránsito как событие, возникшее в процессе движения и связанное с риском или вредом участникам и имуществу. Важно не путать его только с «крупной аварией». Экзамен проверяет корректное понимание базовой терминологии.","Правильный вариант описывает incidente de tránsito как событие, возникшее в процессе движения и связанное с риском или вредом участникам и имуществу. Важно не путать его только с «крупной аварией». Экзамен проверяет корректное понимание базовой терминологии.","Новички считают инцидентом только случаи с тяжелыми травмами.","Новички считают инцидентом только случаи с тяжелыми травмами.","Термин incidente vial шире, чем только тяжелое ДТП.","Термин incidente vial шире, чем только тяжелое ДТП.","Инцидент — любое дорожное событие с риском или вредом.","Инцидент — любое дорожное событие с риском или вредом."
"category-b-0010","¿De qué se trata el “Programa Visión Cero” creado en 1997 en Suecia?","Что представляет собой программа Vision Zero, созданная в 1997 году в Швеции?","","Правильный ответ — Principio ético que establece que nadie debería morir ni sufrir lesiones permanentes en siniestros de tránsito., потому что он соответствует правилу по теме «category-b».","отражает идею, что смертность и тяжелые травмы на дорогах не должны считаться приемлемой ценой мобильности. Программа ставит цель системно снижать их до нуля через политику, инфраструктуру и поведение участников. Экзамен проверяет понимание философии «предотвратимости» дорожного вреда.","Верный ответ отражает идею, что смертность и тяжелые травмы на дорогах не должны считаться приемлемой ценой мобильности. Программа ставит цель системно снижать их до нуля через политику, инфраструктуру и поведение участников. Экзамен проверяет понимание философии «предотвратимости» дорожного вреда.","Верный ответ отражает идею, что смертность и тяжелые травмы на дорогах не должны считаться приемлемой ценой мобильности. Программа ставит цель системно снижать их до нуля через политику, инфраструктуру и поведение участников. Экзамен проверяет понимание философии «предотвратимости» дорожного вреда.","Иногда сводят программу только к штрафам, теряя системный подход.","Иногда сводят программу только к штрафам, теряя системный подход.","Смерти и тяжелые травмы в трафике должны предотвращаться системой.","Смерти и тяжелые травмы в трафике должны предотвращаться системой.","Visión Cero: ни одной «нормальной» смерти на дороге.","Visión Cero: ни одной «нормальной» смерти на дороге."
